job title,company name,date,location,skills
Digital Marketing & Performance Manager,La Casa Egypt -,23 days ago,"Cairo, Egypt ",Full TimeManager · 6+ Yrs of Exp · Operations/Management · Marketing/PR/Advertising · Media/Journalism/Publishing · E-Marketing · Digital Marketing · Online Marketing · Internet Marketing · Facebook Marketing · Electronic Marketing · Marketing Research
Senior Digital Marketing Specialist / Alexandria,Rose -,25 days ago,"Montaza, Alexandria, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · E-Marketing · Marketing · social media platforms · Social Media · E-Commerce · Commerce
Senior Digital Marketing Executive - Social Media,Adamco Pharm -,26 days ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · AdWords · Digital · Digital Marketing · digital media · E-Marketing · Google Adwords · Marketing · Media Buying
Digital Marketing Expert,Confidential -,26 days ago,"Agouza, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Advertising · Ads · Digital · Digital Marketing · E-Marketing · google · Google Ads · Google Analytics
Digital Marketing Specialist - Mahalla Kubra,tlccambridge -,26 days ago,"Mahalla Kubra, Gharbia, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · females_preferred · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication · Communication skills · facebook · E-Marketing · Facebook ads · Google Ads · Digital Marketing · Creative
Senior Digital Marketing,TRANSSION HOLDINGS -,27 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Live streaming · Tiktok · business · Marketing · media · Self-motivated · Entertainment
Digital Marketing Specialist,SevenCodeApps -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Marketing/PR/Advertising · Digital · Digital Marketing · digital media · Google Adwords · Marketing · Online Marketing · Social Media · E-Marketing · SEO
Digital Marketing Specialist / Graphic Designer,Holiday Time -,1 month ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Graphic Design · Design · Adobe Photoshop · Adobe Illustrator · Social Media · Media · Photoshop
Digital Marketing Analyst,zari solution -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · females_only · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · Analytics · Digital · Digital Marketing · E-Marketing · Google Analytics · Marketing · Presentation Skills
Digital Marketing Instructor,Learn n' Digital -,1 month ago,"Mohandessin, Giza, Egypt ",Part TimeExperienced · 6 - 7 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Training/Instructor · Social Media · Digital Marketing · Marketing · Content Marketing · Marketing Strategy · Marketing Planning · Content Creation
Digital Marketing Executive,APPITUNITY -,1 month ago,"London, United Kingdom ",Part TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Digital Marketing · Marketing · SEO · Advertising · Google Analytics · SEM · Google Adwords · E-Marketing · Online Marketing
Digital Marketing Specialist, AL-FIKRY HOLDING -,1 month ago,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Administration · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital · Digital Marketing · Marketing · Social Media · Writing · Content · Customer Service
Digital Marketing Analyst / Manager,Bayt Misr -,1 month ago,"Sheikh Zayed, Giza, Egypt ",Full TimeManager · 2+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital campaigns · Digital Marketing · Real Estate · Online Marketing · analytical · campaigns · Creative · Digital
Digital Marketing Specialist,ComeX Engineering Company -,1 month ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · E-Marketing · English · Marketing · SEO · KPIS · Social Media
Digital Product Manager,Al Ahly Momkn for e-payment -,12 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Business Development · Marketing/PR/Advertising · market · business · Pricing · Product Management · Digital Marketing · Marketing · Social Media
Digital Communication Director,Hala Consulting  -,11 days ago,"Heliopolis, Cairo, Egypt ",Full TimeManager · 7+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication · Digital · Social Media · English · Digital Marketing · media · Marketing · Search Engine Optimization
Digital Manager,Wadi Degla Group -,9 days ago,"Maadi, Cairo, Egypt ",Full TimeManager · 5 - 7 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Digital · Digital Marketing · Marketing · digital media · media · social · Social Media
Product Manager / western Digital,Confidential -,13 days ago,"Riyadh, Saudi Arabia ",Full TimeManager · 5 - 15 Yrs of Exp · Business Development · Sales/Retail · Engineering - Telecom/Technology · Digital Marketing · Engineering · Business Administration · Management · Marketing · Product Management · Product
Digital Community Facilitator - Internship,Booktips -,1 month ago,"Nasr City, Cairo, Egypt ",InternshipStudent · 0 - 1 Yrs of Exp · Customer Service/Support · Marketing/PR/Advertising · Media/Journalism/Publishing · Reading · Team work · Marketing · Media · Communication Skills · English · Digital Marketing
Digital Media Specialist,iVein Clinic -,1 month ago,"Mahta Alraml, Alexandria, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · digital media · media · Social Media · specialist · Marketing · Digital Marketing · Digital · creation
Digital Marketing Expert,MG Developments -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Analysis · Digital Marketing · E-Marketing · English · excel · Growth · Marketing · Microsoft Office
Digital Marketing Team Lead,Vision -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeManager · 5 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication · digital media · Digital Marketing · Marketing · media · Social Media · Management · E-Marketing
DIGITAL MARKETING SPECIALIST,Servmix -,1 month ago,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Engineering - Telecom/Technology · Digital Marketing · Digital · Digital Marketing Specialist · Marketing · E-Marketing · marketing specialist · specialist · Social Media · Advertising
Digital Community Facilitator - (For Mothers),Booktips -,5 days ago,"Nasr City, Cairo, Egypt ",Work From HomeEntry Level · 1+ Yrs of Exp · females_only · Customer Service/Support · Writing/Editorial · Media/Journalism/Publishing · Books · English · Media · PR · Communication · Marketing · E-marketing
